Symbol,Description,Price,Price - Currency,Industry,Market capitalization,Market capitalization - Currency,Enterprise value,Enterprise value - Currency,Price to sales ratio,"Total revenue, Annual","Total revenue, Annual - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","Revenue per employee, Annual","Revenue per employee, Annual - Currency"
SANA,"Sana Biotechnology, Inc.",3.92,USD,Biotechnology,872066491.6808512,USD,679553941,USD,,0,USD,-276025000,USD,0,USD
XERS,"Xeris Biopharma Holdings, Inc.",3.23,USD,Biotechnology,481266211.8156249,USD,669032247,USD,2.616713007336845,163914000,USD,-24202000,USD,434785.14588859404,USD
OXBDF,Oxford Biomedica PLC,5.68,USD,Biotechnology,598443955.0202246,USD,650391118.3142,USD,4.693546446187143,113983146.99999999,USD,-58505482.5,USD,159640.261904762,USD
HUMA,"Humacyte, Inc.",5.42,USD,Biotechnology,678633086.3899821,USD,624280626,USD,,0,USD,-98574000,USD,0,USD
ADPT,Adaptive Biotechnologies Corporation,4.67,USD,Biotechnology,688695137.2696629,USD,590456255,USD,3.8869957381818687,170276000,USD,-161562000,USD,240163.61071932298,USD
IMTX,Immatics N.V.,9.28,USD,Biotechnology,1107622813.1317496,USD,574616557,USD,12.458270076960677,58376999.2145318,USD,-98986950,USD,170195.33298697302,USD
MREO,Mereo BioPharma Group plc,4.2,USD,Biotechnology,655035761,USD,573766761,USD,,10038760.7156,USD,,,304204.870169697,USD
VALN,Valneva SE,6.09,USD,Biotechnology,473163145.96029997,USD,556997574.4603,USD,2.5289011614569303,166181522.682062,USD,,,245830.654855121,USD
INRLF,Valneva SE,3,USD,Biotechnology,487109078.88888884,USD,556948294.6003,USD,2.4552647611107825,169659186.62,USD,,,250975.12813609443,USD
RAPP,"Rapport Therapeutics, Inc.",25.23,USD,Biotechnology,922824035.34,USD,551458000,USD,,0,USD,,,0,USD
ARVN,"Arvinas, Inc.",27.12,USD,Biotechnology,1861735491.6203704,USD,547457815,USD,19.97479099678463,78500000,USD,-364200000,USD,176404.494382022,USD
CRGX,"CARGO Therapeutics, Inc.",21.93,USD,Biotechnology,1006688628.5398567,USD,546362087,USD,,0,USD,-147687000,USD,,
RCUS,"Arcus Biosciences, Inc.",16.66,USD,Biotechnology,1523182213.291667,USD,534096862,USD,6.019238866396767,117000000,USD,-260000000,USD,202772.963604853,USD
TVGN,Tevogen Bio Holdings Inc.,2.74,USD,Biotechnology,467572405.38360655,USD,524154014,USD,,0,USD,-39170940,USD,0,USD
QTTB,Q32 Bio Inc.,46.74,USD,Biotechnology,563674392.3368255,USD,522310568,USD,,1156000,USD,-66157000,USD,165142.857142857,USD
NGNE,Neurogene Inc.,45.93,USD,Biotechnology,596796643.3713046,USD,488381059,USD,885.9043414864146,0,USD,-77078000,USD,0,USD
PLRX,"Pliant Therapeutics, Inc.",14.86,USD,Biotechnology,903509165.2607774,USD,483959154,USD,,1580000,USD,-205109000,USD,10000,USD
DNTH,"Dianthus Therapeutics, Inc.",28.12,USD,Biotechnology,825781792.9512812,USD,453441589,USD,230.3135558474979,2826000,USD,-68423000,USD,53320.7547169811,USD
NUVB,Nuvation Bio Inc.,2.35,USD,Biotechnology,786733656.085973,USD,452315417,USD,376.913574912892,0,USD,-112272000,USD,0,USD
IMNM,"Immunome, Inc.",12.43,USD,Biotechnology,746475809.143683,USD,451677411,USD,67.30651644380579,14018000,USD,-270235000,USD,254872.72727272697,USD
MGTX,MeiraGTx Holdings plc,5.88,USD,Biotechnology,455105649.3993174,USD,441148671,USD,46.447387411967476,14017000,USD,-155309000,USD,32981.1764705882,USD
ARTV,"Artiva Biotherapeutics, Inc.",10.6,USD,Biotechnology,257443724.1300191,USD,439665524,USD,,33491999.999999996,USD,,,434961.038961039,USD
AGEN,Agenus Inc.,4.41,USD,Biotechnology,95132259.45517243,USD,432178942.99999994,USD,0.5739539807929639,156314000,USD,-98985000,USD,401835.475578406,USD
RNAC,"Cartesian Therapeutics, Inc.",22.3,USD,Biotechnology,532825629.7133139,USD,419368765,USD,6.767618996340252,26004000,USD,-47335000,USD,684315.789473684,USD
REPL,"Replimune Group, Inc.",12.05,USD,Biotechnology,823272787.8175619,USD,408235941.99999994,USD,,0,USD,-235668000,USD,0,USD
TRML,"Tourmaline Bio, Inc.",27.45,USD,Biotechnology,703855422.4332455,USD,392603850,USD,,0,USD,-64605999.99999999,USD,0,USD
HRTX,"Heron Therapeutics, Inc.",1.91,USD,Biotechnology,289685910.9729729,USD,391950830,USD,2.06631111534823,127044000,USD,-43620000,USD,1008285.71428571,USD
CLLKF,BICO GROUP AB,3.7045,USD,Biotechnology,261444697.69398746,USD,385974355.61670005,USD,1.3549042788577523,222065130,USD,11108370,USD,,
AURA,"Aura Biosciences, Inc.",10.98,USD,Biotechnology,544675128.8241758,USD,373316762,USD,,0,USD,-89003000,USD,0,USD
URGN,UroGen Pharma Ltd.,12.15,USD,Biotechnology,511685977.6115703,USD,366711274,USD,5.241029649098066,82713000.0000446,USD,-78235000,USD,411507.462686789,USD
MLYS,"Mineralys Therapeutics, Inc.",13.89,USD,Biotechnology,690703525.1903012,USD,365665056,USD,,0,USD,-134497000,USD,0,USD
PRME,"Prime Medicine, Inc.",4.21,USD,Biotechnology,505329757.8411911,USD,362439210,USD,812.7430287309649,0,USD,-201543000,USD,0,USD
TNGX,"Tango Therapeutics, Inc.",5.92,USD,Biotechnology,634295245.3288364,USD,351092690,USD,15.109827906325732,36527000,USD,-129959000,USD,260907.14285714302,USD
STOK,"Stoke Therapeutics, Inc.",12.31,USD,Biotechnology,648094414.8992444,USD,350806294.99999994,USD,43.81951841921227,8780000,USD,-109896000,USD,79818.18181818181,USD
RLAY,"Relay Therapeutics, Inc.",6.03,USD,Biotechnology,979642209.946844,USD,340700596,USD,22.709744455110933,25546000,USD,-367864000,USD,79089.7832817337,USD
BLUE,"bluebird bio, Inc.",0.4946,USD,Biotechnology,95909652.42857142,USD,338316297,USD,1.6943975081967209,29497000,USD,-297165000,USD,78658.6666666667,USD
TERN,"Terns Pharmaceuticals, Inc.",6.51,USD,Biotechnology,549678098.4287857,USD,338139852,USD,,0,USD,-107307000,USD,0,USD
QURE,uniQure N.V.,6.68,USD,Biotechnology,325300071.24100995,USD,328249917.000087,USD,11.468136044970718,15843000.0001159,USD,-222417000,USD,33006.2500002415,USD
