date,company,cik,ticker,industry
2023-08-11,Quantum FinTech Acquisition Corp,1830795,,
2023-08-07,ETF Series Solutions,1540305,,
2023-07-31,IDEX Biometrics ASA,1824036,,
2023-07-31,Oconee Federal Financial Corp.,1501078,OFED,"Savings Institution, Federally Chartered"
2023-07-31,"Shapeways Holdings, Inc.",1784851,SHPWQ,Miscellaneous Manufacturing Industries
2023-07-27,Athena Technology Acquisition Corp. II,1882198,ATEK,Blank Checks
2023-07-27,"IronNet, Inc.",1777946,,
2023-07-21,Priveterra Acquisition Corp.,1837607,AEON,Pharmaceutical Preparations
2023-07-17,FISERV INC,798354,FI,"Services-Business Services, NEC"
2023-07-17,Freedom Acquisition I Corp.,1838987,CSLR,Semiconductors & Related Devices
2023-07-10,VectivBio Holding AG,1836379,,
2023-07-05,ROPER TECHNOLOGIES INC,882835,ROP,"Industrial Instruments For Measurement, Display, and Control"
2023-06-28,HeadHunter Group PLC,1721181,,
2023-06-26,Black Spade Acquisition Co,1851908,,
2023-06-23,BONSO ELECTRONICS INTERNATIONAL INC,846546,BNSOF,"Electronic Components, NEC"
2023-06-23,"Genius Brands International, Inc.",1355848,TOON,Services-Motion Picture & Video Tape Production
2023-06-22,EVe Mobility Acquisition Corp,1861121,EVE,Blank Checks
2023-06-09,"Stellar Bancorp, Inc.",1473844,STEL,National Commercial Banks
2023-06-06,FISERV INC,798354,FI,"Services-Business Services, NEC"
2023-06-01,51Talk Online Education Group,1659494,COE,Services-Educational Services
2023-06-01,Kaspien Holdings Inc.,795212,,
2023-05-26,TravelCenters of America Inc. /MD/,1378453,,
2023-05-22,EQUITY BANCSHARES INC,1227500,EQBK,State Commercial Banks
2023-05-19,"Origin Bancorp, Inc.",1516912,OBK,State Commercial Banks
2023-05-12,ABB LTD,1091587,ABLZF,Switchgear & Switchboard Apparatus
2023-05-08,"IDW MEDIA HOLDINGS, INC.",1463833,IDWM,Services-Advertising
2023-05-04,"Vyant Bio, Inc.",1349929,,
2023-05-01,SKYDECK ACQUISITION CORP.,1847152,,
2023-05-01,Orion Biotech Opportunities Corp.,1847416,,
2023-05-01,Insight Acquisition Corp. /DE,1862463,INAQ,Patent Owners & Lessors
2023-04-26,MOTIVATING THE MASSES INC,1107796,,
2023-04-24,"Banco Santander Mexico S.A., Institucion de Banca Multiple, Grupo Financiero Santander Mexico",1698287,,
2023-04-20,Northern Lights Fund Trust,1314414,,
2023-04-20,ETF Series Solutions,1540305,,
2023-04-17,PAN AMERICAN SILVER CORP,771992,PAAS,Gold and Silver Ores
2023-04-13,Industrias Bachoco S.A.B. de C.V.,1044896,,
2023-04-10,BlueRiver Acquisition Corp.,1831006,BLUAF,Surgical & Medical Instruments & Apparatus
2023-04-10,Brookfield DTLA Fund Office Trust Investor Inc.,1575311,DTLAP,Real Estate Investment Trusts
2023-04-07,DAVIDsTEA Inc.,1627606,DTEAF,Retail-Food Stores
2023-04-06,Sio Gene Therapies Inc.,1636050,,
2023-04-04,TITAN MEDICAL INC,840551,TMDIF,Surgical & Medical Instruments & Apparatus
2023-04-03,Primoris Services Corp,1361538,PRIM,"Water, Sewer, Pipeline, Comm & Power Line Construction"
2023-03-29,Catcha Investment Corp,1838293,,
2023-03-28,"Rubius Therapeutics, Inc.",1709401,,
2023-03-27,ObsEva SA,1685316,,
2023-03-23,Listed Funds Trust,1683471,,
2023-03-23,"ASPEN GROUP, INC.",1487198,ASPU,Services-Educational Services
2023-03-20,Loyalty Ventures Inc.,1870997,,
2023-03-20,Jaws Mustang Acquisition Corp,1831359,JWSM,Blank Checks
2023-03-20,JATT Acquisition Corp,1855644,ZURA,"Biological Products, (No Diagnostic Substances)"
2023-03-16,Ambrx Biopharma Inc.,1836056,,
2023-03-13,Northern Star Investment Corp. II,1834518,NSTB,Blank Checks
2023-03-13,Berenson Acquisition Corp. I,1869673,,
2023-03-06,GUARANTY BANCSHARES INC /TX/,1058867,GNTY,National Commercial Banks
2023-03-06,Williams Rowland Acquisition Corp.,1855168,,
2023-03-01,"Southland Holdings, Inc.",1883814,SLND,Heavy Construction Other Than Bldg Const - Contractors
2023-02-24,CANON INC,16988,CAJPY,Photographic Equipment & Supplies
2023-02-24,Bite Acquisition Corp.,1831270,,
2023-02-23,InterPrivate III Financial Partners Inc.,1839610,,
2023-02-23,Adit EdTech Acquisition Corp.,1830029,GRDI,Finance Services
2023-02-22,COHERENT CORP.,820318,COHR,Optical Instruments & Lenses
2023-02-21,Athena Consumer Acquisition Corp.,1869141,,
2023-02-13,"FFBW, Inc. /MD/",1787384,FFBW,"Savings Institution, Federally Chartered"
2023-02-06,PARTNER COMMUNICATIONS CO LTD,1096691,PTNRF,Radiotelephone Communications
2023-02-06,"Cincinnati Bancorp, Inc.",1787005,,
2023-02-06,THOR Financial Technologies Trust,1924447,,
2023-02-06,SOUTH JERSEY INDUSTRIES INC,91928,,
2023-01-23,CHINA EASTERN AIRLINES CORP LTD,1030475,CHEAF,"Air Transportation, Scheduled"
2023-01-23,CHINA SOUTHERN AIRLINES CO LTD,1041668,CHKIF,"Air Transportation, Scheduled"
2023-01-20,EXCELLON RESOURCES INC,1263011,EXNRF,Gold and Silver Ores
2023-01-19,Creative Media & Community Trust Corp,908311,CMCT,Real Estate Investment Trusts
2023-01-17,Atlantic Union Bankshares Corp,883948,AUB,State Commercial Banks
2023-01-13,TATA MOTORS LTD/FI,926042,,
2023-01-09,CI Financial Corp.,1829948,CIXXF,Investment Advice
2023-01-06,AUTOSCOPE TECHNOLOGIES CORP,943034,AATC,"Measuring & Controlling Devices, NEC"
2023-01-03,"PS BUSINESS PARKS, INC./MD",866368,,
2023-01-03,TUESDAY MORNING CORP/DE,878726,TUEMQ,Retail-Variety Stores
2023-01-03,Eagle Bulk Shipping Inc.,1322439,,
2022-12-28,Direxion Shares ETF Trust,1424958,,
2022-12-27,Listed Funds Trust,1683471,,
2022-12-27,EA Series Trust,1592900,,
2022-12-27,EA Series Trust,1592900,,
2022-12-27,"Evergy, Inc.",1711269,EVRG,Electric & Other Services Combined
2022-12-27,Listed Funds Trust,1683471,,
2022-12-23,Harbor ETF Trust,1860434,,
2022-12-23,"Rubicon Technology, Inc.",1410172,RBCN,Semiconductors & Related Devices
