date,company,cik,form
2022-06-02,DiDi Global Inc.,1764757,25
2022-05-23,NICOLET BANKSHARES INC,1174850,25
2022-05-20,"CareTrust REIT, Inc.",1590717,25
2022-05-17,Artisan Acquisition Corp.,1844840,25
2022-05-12,Tidal ETF Trust,1742912,25
2022-05-09,"Eve Holding, Inc.",1823652,25
2022-05-06,Tecnoglass Inc.,1534675,25
2022-05-03,HUTTIG BUILDING PRODUCTS INC,1093082,25
2022-05-02,NUSCALE POWER Corp,1822966,25
2022-04-25,"Symbolic Logic, Inc.",1052054,25
2022-04-25,Fortress Transportation & Infrastructure Investors LLC,1590364,25
2022-04-18,"Kaleido Biosciences, Inc.",1751299,25
2022-04-13,PENNANTPARK INVESTMENT CORP,1383414,25
2022-04-13,PennantPark Floating Rate Capital Ltd.,1504619,25
2022-04-12,SPDR INDEX SHARES FUNDS,1168164,25
2022-04-04,CyrusOne LP,1575810,25
2022-04-04,CyrusOne Finance Corp.,1575815,25
2022-04-04,Poema Global Holdings Corp.,1826333,25
2022-03-28,Retail Value Inc.,1735184,25
2022-03-21,Orphazyme A/S,1764791,25
2022-03-17,Bridgetown 2 Holdings Ltd,1831236,25
2022-03-11,NexGen Energy Ltd.,1698535,25
2022-03-04,Just Eat Takeaway.com N.V.,1792627,25
2022-03-02,"NORTHERN OIL & GAS, INC.",1104485,25
2022-03-02,DBX ETF TRUST,1503123,25
2022-03-02,DBX ETF TRUST,1503123,25
2022-03-01,"Rigetti Computing, Inc.",1838359,25
2022-02-24,Biofrontera AG,1712641,25
2022-02-15,Sky Harbour Group Corp,1823587,25
2022-02-14,Spark Networks SE,1705338,25
2022-02-11,"HEAT BIOLOGICS, INC.",1476963,25
2022-02-09,SILVERBOX ENGAGED MERGER CORP I,1836707,25
2022-02-01,DAXOR CORP,27367,25
2022-01-31,Goldman Sachs Physical Gold ETF,1708646,25
2022-01-31,China Finance Online Co. LTD,1297830,25
2022-01-21,WESTPAC BANKING CORP,719245,25
2022-01-13,BOSTON OMAHA Corp,1494582,25
2022-01-10,"nCino OpCo, Inc.",1566895,25
2022-01-05,"VPC Impact Acquisition Holdings III, Inc.",1841408,25
2022-01-03,Yellowstone Acquisition Co,1823587,25
2021-12-30,"Kinsale Capital Group, Inc.",1669162,25
2021-12-28,Collaborative Investment Series Trust,1719812,25
2021-12-27,"Global Indemnity Group, LLC",1494904,25
2021-12-27,"Global Indemnity Group, LLC",1494904,25
2021-12-22,GUINNESS ATKINSON FUNDS,919160,25
2021-12-20,"CONDOR HOSPITALITY TRUST, INC.",929545,25
